,Responses,Final Score
139,Meat Option  fuels transportation creates innovative solutions can counteract the pollution meatless option of the negative impact on the climate and environment,30
140,Non-animal Source Runoff in water Methane production Greenhouse gas emissions no They are causing climate change to get worst,25
141,meat option has ways to counteract the pollution it causes is a big money industry tastes better   meatless less cows would make it so there is less pollution,20
142,Non- Animal source struggles with methane productin Greenhouse gas emissions damages Methane fueling transportation eating meat it tastes good,25
143,meatless is better for the enviroment  better for me could eventually help save some cows eating meat it taste good,25
144,meatless less fats less hormones less animal cruelty meat protein,25
145,Meat Option has tech that can counteract pollution made meat taste good why not? to have a vegan diet of their health,0
146,"Meat option  is healthier but I don't eat red meat. more convenient  not as wasteful meatless option they think buy not eating meat every day, it will stop the overflow of beef.",20
147,meatless option  is better creates pollution destroys our environment  meat option in the long run we are killing humans by not producing quality live stock,25
148,meatless healthier more nutritious  cholesterol  to eat meat it's what people have always done,30
149,meatless option is suitable for my dietary needs healthy protein can still be eaten in other food groups than meat 1 the meat option it is what works for them,15
150,meatless option is better healthier 1 meat option its what they grew up eating,15
151,meat option it's a great source of protein can produce methane fueling transportation technologies can counteract pollution 1 meatless option some farms do not have the advanced technology to reduce pollution,30
152,"animal source  creates innovated solutions technologies can counteract pollution methane fueling transportation is an important substitute from fossil fuels 2 non-animal source eating beef is very important, and should not be substituted by a non-animal source. Technologies can always be invented to prevent the negatives that are associated with animal-sourced food.",25
153,"meatless option is better for the environment is generally healthier can help stop the production of green house gases 1 the animal option that is what we know to eat, and sometimes we do not realize that the same amount of protein that is found in chicken is also found in vegetables",25
154,Meatless Option will help your health you will be helping the environment your weight 1 Meat Option  they love meat,20
155,meatless option is better for animals  people the environment 1 the meat option meat tastes good and has a lot of health benefits,25
156,meatless option reduces runoff in water methane production greenhouse gas emissions 1 animal sources the high source of protein,30
157,meatless option is better for the environment our bodies 1 meat option meat does contain protein,25
158,meat can create solutions can counteract pollution methane production 1 meatless they may want more vegetables,25
159,meatless option is healthier better for the environment less expensive 1 meat it's good,25
160,Meat Option creates innovative solutions methane fueling transportation Technologies can counteract pollution 1 meatless runoff in water,30
161,meatless option is better for the environment is cruelty free is heathier for your body 1 the meat option it is second nature,25
162,meatless healthier environment  gas emissions 1 meat protein,30
163,meatless helps people maintain a healthy diet helps people live in a better world cuts down pollution 1 meat they may like to consume meat in their diet,20
164,meat option creates innovative solutions methane production run off in wayer 1 meatless option it produces methane,30
165,meat option is easy good for you safe 2 non animal options you need to eat animal products,15
166,the meatless option is only one time a week it helps the environment  is healthier 1 meat  there are ways to eat it safely,20
167,"Meat Option provides Methane Production Methane Fueling Transportation Creating Innovative Solutions 1 Meatless Option of the reason listed above, Meat and Animals provide a very good source of protein and they produce a lot of beneficial gases and create new solutions",30
168,"meatless option runoff in water methane production greenhouse gas emissions 1 meat option it is cheap, easily available and tastes good",30
169,the animal source/meat option provides technology to counteract pollution create innovative solutions to ongoing problems fuel transportation services 1 to go meatless pollution is not a good thing of course and the amount of emissions that are harmful to the environment are immense,30
170,"meat option, however both is fine and is the person's decision in the end uses methane as fuel for transportation has technologies to counteract pollution creates innovative solutions 1 meatless option of the runoff water, the methane and greenhouse gas emissions",30
171,not sure  sees the viewpoint of both sides sees the pros of both sees the cons of both 1 either option  both have benefits that either affect personal health or the environment,5
172,meatless option less expensive prevent runoff reduce methane production  1 meat  it taste better,25
173,meatless  greenhouse gas emissions methane production  runoff water 1 meat option  you have always grown up eating meat,25
174,meat option is easy efficient  nutrient building 1 the meatless option it may suit them better,20
175,Not sure its based on their opinions beliefs food preference 1 meatless there are benefits,5
176,Non Animal creates innovative solutions saves resources reduces pollution 1 animal it tastes good,25
177,Meatless option limits greenhouse gases limits runoff reduces methane production 1 to eat meat it provides an easy source of protein,30
178,The choice I would tell my friends is to cut down on the amount of red meat they consume. I would tell them this because they probably do not understand everything that is happening to the earth because the amount of red meat we eat and what we are doing with cows in general. I would tell them this to inform them and make them non ignorant because it is unlikely that they know the situation and what is happening.,15
179,I would say grass fed meat is the best option because it is healthier for us and also better for the environment as a whole.,20
180,"Based on the videos I just watched, I would tell my friends the best option is video 2 ""sustainable farming."" Cows produce methane gas which is negatively affecting the earth therefore, if Americans don't cut back on the amount of burgers and beef we eat the earth may not be able to keep up. With the sustainable farming we have the chance to put the methane to us and use it as renewable energy in hope to positively effect the planet.",20
181,"I would tell my friends that the best option to decrease the pollution is to take the manure from the cows and covert it into sustainable energy that can be used. This method helps create energy safely from the many cows that they milk. Instead of the manure being wasted, it is turned into something beneficial. ",15
182,"I would tell my friends to choose sustainability because to survive in the 21st century you're going to need sustainability , creativity, technology, innovation.  It's also a way to avoid the depletion of natural resources and all together is just healthier and better for us.",20
183,"Sustainable farming because the techniques they use protect the environment, public health, human communities, and animal welfare.",25
184,try to eat more green and organic foods and cut back on beef. this is because the way of life of cows is so harmful so our earth with all of the waste and co2 they produce,15
185,I would choose to tell them to make there own choice. Your own choice is the best and can only come back to you at the end of the day.,0
186,I think the sustainable farming is the best option. It is the best of both worlds and nothing is wasted.,15
187,I would tell my friends to cut down on beef just one day of the week because it can still have a huge impact on our environment. The cow meat is mixed with different cows which can spread diseases and also it inst right that our country kills as well as consumes the most meat. I also believe it is just morally wrong to slaughter all of those helpless cows. ,20
188,"I don't think there is a better or worse choice. The first video shows us all the damaging aspects of using the beef industries our meat protein sources but also offered easy ways to make improvements like cutting out meat and cheese from your diet just one day a week. The second video showed how farmers can use the harmful methane gas the first video talks about, and put it to good use by using it to transport the farm's milk, a good source of protein for humans.",20
189,I would tell my friends about video 2 because it explains a new technology for producing natural gas.  ,15
190,That we should not eat as much meat as we do because it is bad for the environment and is not good for our health when it is read meat like hamburgers.,20
191,To do whatever is most important to you and that would be most beneficial. Do this because it is important to prioritize your objectives in order to get things done.,0
192,Cut down intake of beef or completely cut it out of your diet because of the environmental issues it causes to produce a single hamburger. ,15
193,Eat no meat or dairy one day a week because that will greatly reduce the production of greenhouse gases.,15
194,"The second option!  The system is overall more efficient.  In the first video, it talks of all the waste of normal processes.  In the second video with sustainable farming, everything has its place, there is no waste.",20
195,"I would tell my friends who all eat meat regularly to try and do a meatless day throughout the week to start.  I would inform them about the meat market, the large amounts of resources needed, environmental problems it causes, animal cruelty, etc.  Giving them information about this topic would allow them to be aware of the cons of the meat market and maybe even limiting the amount of meat they consume.  ",25
196,"i would tell my friends the best option is reducing the amount of burgers and meat they eat. I think the little things we can do weekly has huge impacts on our health, environment and planet.",20
197,Meat is important to consume because it provides the body with essential nutrients that other food can can not provide  ,15
198,Meatless because meat has more trans fat and cholesterol than plant-based protein.,15
199,"I think that the second option is the best option. By using the manure to create a source of methane is ecofriendly. In addition, the cows are still eating crops that are good for them because it is a continuous cycle. ",20
200,"I think sustainable farming is the best option because it is farming while using good techniques that protect the environment, animal welfare and public health. It also does not compromise on future generations needs to help and meet the needs of society right now.

",25
201,Consumers should always be aware of what the food they are eating and where they are coming from. Food from a clean source without a lot of antibiotics and processing is better. ,5
202,I would encourage them to cut back on their intake of red meat and try to get protein through other foods. I would tell them about the affects that it can have on our environment.,15
203,"I would tell my friends to eat prouducts with chicken , tofu and alternatives to beef because the process to get the meat from the beef is a lot more strenuous than one would think. The amount of energy that is put into attaining the meat is way more than that of chicken. ALso, the waste products of cows are much more of that humans and they leave nitrous oxide pollution in the world. Also, ecoli is very readily spread through beef, so it can contaminate several hamburgers very quickly.",25
204,"Sustainable energy seems like the best option because it helps to conserve energy, helps to reuse energy that the cows give out and is more healthy for the environment.",25
205,Get proteins in your diet such as boneless meats like chicken and plant based proteins like beans ,0
206,"Sustainable farming is the  best option because it uses its own resources to grow crops, feed cows, and produce milk and produce fuel to run the trucks. It saves us from using so many resources",20
207,The best option is organic/ natural because it is natural and contains the best source of nutrients,15
208,I would tell them to really just question where there food is coming from. make better choices when looking for foods to consume and support local small farms instead of corporation companies.,0
209,Eat meat as a protein source (but be careful of what you eat)  because unless done very carefully it is difficult to be a healthier vegetarian. ,10
210,The excess consumption of meat in America is hurting the environment and the people in it. I encourage my friends to green eat. ,20
211,I would tell my friends about sustainable farming because I think it is really smart how the famers are making use of two products from cows: the manure and the milk. I also like how some of the manure is used as a fertilizer while the rest is used as renewable gas and it is not harmful. ,20
212,"i would use the sustainable farming, because it doesn't hurt the earth as much because its using natural gas and natural resources. ",20
213,Sustainable farming is most definitely the best option because it saves the most energy and also helps the environment. Almost no materials go to waste with sustainable farming.,25
214,"Both videos were extremely informative, and provided different solutions to a major problem plaguing today's society. The first video explained the negative repercussions beef consumption has on our country (and the world), and how we can all do our part in reducing this damage. The second video showed sustainability in farming, in which little to no product goes to waste. I strongly believe that limiting cattle and meat production/ consumption AND increasing sustainability efforts are key for America's future. However, if I had to choose one option for my friends, I would recommend they limit their meat consumption. Like the video said, even the slight difference of cutting one burger out a week can make a difference. This solution would not require much effort, and small sacrifices can have monumental benefits. ",15
215,I would tell my friends that beef is not sustainable because most farms use the most cheap and efficient methods that they can.,10
216,"I would personally tell my friends to eat less meat and cheese per week. This is the better option for many reasons, especially because meat has greater amounts of saturated fats and therefore you could benefit from not eating as much of it. Along with this, you will still be able to help the ""cycle"" shown in the second video by allowing natural gas to be produced, but you will be creating less of the ""bad"" gas mentioned in the first video.",20
217,"I would tell my friends that going meatless is the best option. There are many reasons as to why, cows are the biggest production of methane aka greenhouse gasses. Animal slaughter is also very inhumane and mass done to supply for the demand of meat. ",20
218,I would try to tell my friends to try to eat meat and products that are cage free and organic because consuming these products are more beneficial for health and body.,15
219,"Based off of the videos my choice would be, to eat locally farm raised animal that are raised in a non hormones additive environment.  I would suggest this to my friends due to the fact that if the animal is happy and healthy, so will your body feel after eating the different kinds of proteins.",15
220,I would tell my friends that food grown from sustainable farming is the best option because it is better for you and the environment.,20
221,I would go with the first option,10
222,"I think that the best option is to cut out meat all together. Although, this isn't always as easy said then done. If someone cant cut out meat completely from their diet, I would say the next best thing would be supporting farms such as the one in the second video that is helping to limit the amount of methane gas polluting our world. ",15
223,I would say that the best option is to go with grass fed cows or anything that comes from a sustainable farm if they are going to eat red meat because it is better for the environment. Just cutting down on how much you eat or where you get it from make a huge difference. ,15
224,I would tell them that plant based protein is the best option,10
225,"I would tell my friend the best option is sustainable farming because, you know where your meat products are coming from, how they are treated, and you know the company invests a lot of time, research, and money in producing high quality products.",25
226,"Based on the videos I watched, in the first video there was a fact stated that Americans have started to eat more tofu, turkey and chicken rather than ground beef.  This is the best option because tofu, turkey and chicken is still giving our bodies the sources of protein we need and they're so much better for us.",5
227,Sustainable farming because it is not only more humane to the animals but it is beneficial to the environment and removes the majority of the pollution used.,20
228,"Eating sustainable farmed animals. Minimal to no beef, but grass fed if anything. Better to eat some pork/poultry and more plant based foods, which produce much less or no greenhouse gases which negatively effect the environment. ",20
229,Non-Animal Source Creating Innovative solutions Technology can counteract pollution Methane fueling Transportation  Animal Source beliefs,25
230,meatless option is better for the environment  your health makes you feel alot better about what you are eating meat option it does not benefit you or the environment in any way,20
231,meat  can be organic cage free lean  meatless it is overall better for the environment,20
232,meatless option is healthier safer better for the environment to eat meat is delicious,25
233,meatless option green house gas methane production creating innovative solutions  meat option it is bad for the earth,25
234,"meatless is healthier cheaper we eat too much meat as protein anyways,  meat it is an easy way of protein",25
235,meat option can be used to create innovative solutions eliminate the methane production use technologies that can counteract pollution meatless option of the amount of greenhouse gasses meat can produce,30
236,Animal Creating Technology money meatless there,0
237,non animal source creates innovative solutions produces methane fueling transportation produces greenhouse gas emissions animal sources of nutritional benefits,30
238,vegetables  healthier safer environmental friendly  meat it ruins environment,20
239,meatless option reduces greenhouse gas emissions reduces methane production reduces runoff in water the meat option they like meat,30
240,meat  creates methane that we can use in transportation   todays technologies have allowed us to counteract the pollution caused  research is allowing us to create solutions so we don't have to go completely meatless  going meatless there are some negatives,30
241,meatless options is ecofriendly healthy a good source of protein meat option of the need of protein,30
242,meat contains proteins methane production greenhouse gas emissions meatless option it is better for the environment,30
500,People and companies have been making strides to improve the way meat/cows are handled. Not only with changing the way they are being fed but also in to using the whole aspect of the cow to sustain life and do it in a way that doesn't harm the planet. I personally don't consume beef that often but now being presented with the information that I was I am more motivated to buy from the company that is trying to be less of a burden on the planet. I believe that a meat diet is a better diet but to do all things in moderation.  ,10
501,"The second video is the best option that I would recommend my friend because there introduced a lot of benefits of cows. Not only people eat meat, some of products are also made from cow such as milk, cheese, ice cream and natural gas. ",10
502,"I would say that the best option would be to eat less meat and diary, because it is bad for your health, and for the environment. ",20
503,"I do not completely disagree with the consumption of meat, however i do believe that the industry should be heavily reduced and reformed in terms of the humane treatment of animals and awareness of the health risks that an excessive diet of meat and animal byproducts can cause.ï»¿",20
504,Choosing meatless options for your protein intake is the best way to protect the environment and save our country millions of dollars. ,20
505,The best option is to go for protein based food. ,0
506,To eat healthy natural food to prolong a healthy life,0
507,The best choice would be to go vegan. Stop torturing the animals.,15
508,I accidentally skipped ahead when attempting to view video two but I can't go back. I believe everyone is free to make their own choices but I would identify myself as vegan and I would suggest that my friend try going meatless while giving them all the information on why I did so as well as the benefits and let them make an informed decision. ,10
509,"I think the choice of recycling the cow manure into reusable fuel for vehicles is the better option.  Not only are we keeping up with beef and dairy production which will sustain the growing populations, but the reusable gas from the cow manure is a very viable source of clean energy for future automobile development.",20
510,"Reducing their amount of beef intake to help prevent pollution in the environment because the more beef we eat, the more cows are needed to meet that demand creating more pollution. ",15
511,Sustainable farming. It will have the greatest global impact as well as being important for future generations.,15
512,"Sustainable farming has benefits that extend that of what we are actually consuming from fast foo places of big franchise names offering protein packed menu items. The foot print livestock leaves on the world in order to continuously provide people with meat is land consuming and often not up to par with meat regulations. I would recommend they start looking more at their local farmer markets, in order to cut back on such heavy consumption of mutated hamburgers and meats.",0
513,To lower your beef consumption and think of grass fed beef as an alternative,10
514,"I would actually try and combine both ideas. Maybe we can cut back on the amount of eat we consume per week (such as having one meatless day per week) and utilize technology to eliminate the wastes that contribute to global warming. If I did have to pick one though, I lean towards the one using technology on their farm. It really is a great way to produce beef and fuel for their trucks at the same time. The whole idea of making a self sustainable farm with little to no waste appears to be more beneficial.  ",20
515,"Based upon the videos, I wouldn't recommend my friends to consume any type of beef or meat. Just seeing what these animals are put through just to produce food for us is enough to make me steer away from consuming it. ",15
516,There are great ideas of sustainability in the second video. I would say all of these options are worth looking into. There are best scenarios in both videos. ,10
517,The best option is the sustainable farming techniques. I felt like the first video made a few valid points but overall was a big stretch for the point it was trying to make. The hidden costs for cows/beef is clearly shown but relating that to pollution was a stretch. There are many other businesses with hidden pollutants the meat market is just one of them.  ,15
518,"I would say the best option is to eat meat. Meat is the best source of protein and also a good source for iron, vitamin B, and energy. Although eating meat does of cons, these cons are mainly based on if you eat to much red meat which is true for anything. If you eat to much of anything, it is bad for you. These videos talked mainly about the processing method and how it is hurting the environment and the bad gases the cows and their poop give off. However, the second video was about a guy telling you about his farm and he had a way to fix most of the problems the first video was talking about. The major one was the gases from the cows poop. He was using their poop to make gas for your car which is an all natural gas and so much better for the environment and has the same power that regular gas has. I found this very cool and interesting, I had no idea this even existed! Red meat is a complete protein which contains all the essential amino acids and saturated and monosaturated fats that have been shown to improve cholesterol levels. so eating red meats protects your heart. Also red meat contains omega-3 fatty acids which are protective against anxiety and depression, so eating red meat gives you energy and puts you in a happy mood. I believe that the cons for not eating meat is a lot worse than cons for eating meat. One con is the risk of vitamin deficiency. B12 is a hard vitamin to find and is mainly found in animal sources such as red meat. If you don't get enough of this vitamin, you may develop anemia. You may also experience weight loss or muscle wasting if dies does not contain enough protein. Even though losing weight may be a good thing, less than 20 percent of your daily calories come from healthy fat sources which red meat contains. In the end, I believe eating the right amount of red meat is a good and beneficial thing. ",15
519,"I believe it all is best in moderation, since there are also other consequences not explained in these videos to other aspects of the world.",0
520,I would tell them to do whats best for them.,0
521,"I would tell my friends to try and eat less meat. Meat seems to cause a lot of problems in the world and I think if we all decided to eat less meat then we could better the world. A person does not have to completely stop eating meat in order to help, but even just not eating meat for one day could help. ",10
522,That all the cow waste and everything else  is hurting our climate.,0
523,I would tell them the optimal diet is mixed and varies from person to person,0
524,"Personally, I am a vegan, so I am inclined to say that choosing to cut out meat may be the best option. However, I understand that that option may not be realistic, so I would suggest reducing the amount of beef eaten and choosing grass fed beef whenever possible, because these choices will help to reduce our affects on the environment. ",15
525,"I would say the best option would be to for my friends would be to try and go meatless and without cheese for one day per week. Thinking realistically, not many of my friends would just up and go vegan or without beef completely. I think incremental changes are best then it doesn't seem so daunting of a task and they might decide that it's something they would like to do long term.",10
526,I am much more likely to tell my friends that sustainable farming is the best option.,10
527,"It would be a hard one, because both provide good information. Although I would go with the first video, because if more people can learn about the excess gas released by the large amount of cattle being raised can be helpful. Which could lead to people eating less cattle and maybe reduce some of the amounts of green house gasses. ",15
528,I would recommend my friends to limit their consumption of meat per week and educate them about the greenhouse pollution and what we citizens can do to alter the numbers. As the video shows that buying red meat and consuming it has a bigger affect in pollution than cars. Over consumption of red meat is both bad for your body and for the nature. ,20
529,type here,0
530,I would be a vegetarian because seeing the effects it has on our environment and bodies is disgusting.,10
531,"I would probably tell them the un healthy consequences due to red meat, and how much that effects your health and the environment. I would choose to tell them this option because I personally do not eat red meat, and get my proteins through chicken or fish",20
532,"I believe the option the second video portrayed, with the endless cycle of processing manure and turning it into clean gas that then could be used to cart the products made on the farm all over. The main concern from the first video was about pollution from the cows and their manure and I believe that the second video took a lot of that out of the environment. ",20
533,"Sustainable farming, obviously. They are able to create clean energy without the addition of contaminate waste.",15
534,I would tell my friends The hidden cost of meat and I will also tell them how to fix the world and how by just simply taking one burger away a week could do so much difference in the world and the reason why I would tell them that is because not only will it make the world a better place for us but it will make a better place for the next generation behind us.,10
535,0,0
536,"It is obvious the meat industry has some extremely bad effects on the environment and on general health, but it is also obvious that counter efforts can be made to combat these effects through education on the subjects and creative thinking. It is unrealistic to say people should not eat meat, but buying meat from sources such as these can create a change that is much more achievable.",15
537,"Clearly the best option is the Dairy Farm Fair Oaks (Second Video). The whole process of what this farm is doing is solving a major pollution problem in the world today. Instead of the methane being released to pollute the air some of it is digested through pipes to power the farm and the rest of it is used as fuel that runs the farm's fleet of trucks. What can't be used after the digestion process, is put on the grounds as fertilization. This choice is the better option of the two regarding the conservation of our world. ",15
538,I feel that sustainable farming is the best choice. This is because it is overall the best choice for animals and us humans that are the consumers. ,20
539,"I feel as if cows are only helping the environment, it has its own recyclable energy and produces food for us ",15
540,"To be honest, I am going to eat meat regardless of what happens to our bodies and everything else. I was eating it all my life and shall continue. I mean if you've been doing it, why not keep doing it",10
541,Hamburger meat can be unsafe because of how its process of production so too much of this can be harmful even if it does provide protein. Avoiding it could lessen risk of e.coli spreading. ,0
542,"Based on what I heard in the videos, the best option is to cut down on beef. We drive the commercial farming of beef. The production of beef is costly, uses up too much of our natural resources, and is responsible for a vast majority of our greenhouse gases. The costs outweigh the benefits.  ",25
543,Organic meat is a good choice,10
544,"I would use Fair Oak Farms becuase it is cheaper. With them using the cows manure to make natural gas for the tanker trucks and using the left over manure for fertilization, which allows the cows to produce milk. Also with this process, it is better for the planet and climate change.",20
545,"I would say the best option is what ever works best with their lifestyle. I believe both options have their own pros and cons, so the decision is best left to them.",0
546,ill tell my friend to figure it out himself,0
547,"The best option is to go vegan, because a vegan diet produces the smallest carbon footprint and leads to the least amount of human and nonhuman animal suffering. ",20
548,Sustainable farming because most Americans won't want to make dietary changes.,10
549,The best option his to think everything through first. ,0
550,I would tell my friends to eat less beef and to eat mostly chicken and fish because those are meats that are easier on the body to digest and process.,10
551,I would tell them to continue eating meat because it is tasty and you only live once. None of the other stuff matters.,10
552,The choice I  would tell my friends is the best options would be the Fair Oaks option because it allows for manure to be reused for gasoline and invest back into the cow for it to produce milk. In turn it because a cycle in which nothing goes to waste and its reinvested to make a difference. ,15
553,"I would tell my friends that actual meat is better, simply because I don't believe in eating meatless meat.",10
554,Limiting the amount of meat you intake a week is the best option when eating beef because cows have become a huge source of greenhouse gasses and by just lowering the amount of beef you eat in a week can make a difference overall.,15
555,"The first video encourages listeners to eat less meat because of environmental and health reasons. The second video shows the use of cows for milk, and other dairy products and making manure renewable energy. Personally, I believe eating healthier plant based diets is a better option, but that is a personal opinion. I would not tell friends to change their diets and eat less beef. I think as a whole, I would tell them that the second option is the more realistic one, not everyone in the U.S. wants to eat plant based diets.",10
556,To eat healthier because its cheaper and will help your body in the long run. It takes meat a while to digest.While vegetables digest easily and live you feeling full and light.,10
557,I'm not sure honestly ,0
558,I would tell my friend to choose the second option because they are reusing manure to make something that is useful. ,15
559,Sustainable farming is clearly the more sensible and more earth friendly option. This type of farming turned one situation to another situation which is great for the earth and the economy in a sense. These farmers use the milk and manure to create this renewable natural gas that is very so much Clean Natural Gas that allows major opportunity instead of causing contamination. ,15
560,To not eat the hamburgers.,0
561,"Plant-based protein sources offer many benefits over even the most sustainable animal sources of protein. A concept in biology is the idea of energy levels, being that only 1/10th of the energy in one levels such as plants move up to the next level such as cows and other livestock. The energy level in cows in particular is only 1/10th of that in the entire energy level in plants used to feed them. Sources of protein such as beans and tofu are for more environmentally sustainable, which is my primary concern.",15
562,I believe the sustainable farming is the best option because it is not only healthier consuming the products from these cows but they also use the manure to produce a natural gas which powers these trucks to take milk all over. They are using things that most other farms would dispose of or just let sit there (manure) and using it as renewable energy. They are saving money rather than costing themselves and others more.,20
563,"I would tell them my opinion of the following options, not weighing or pushing them to follow me but to allow them to think how I am about the situation for a moment.

",0
564,"After watching this video I learned how dangerous cow waste was to the environment which i never knew. If cow wastes accounts for 2/ of nitrogenous oxide that means by cutting down our burger consumption w could potentially save a lot of pollution that is caused. So i would have to tell them to go with option 2 because burgers are good sure, but we want the earth to be as happy and healthy as it can be for a long time. ",10
565,"I think the best option would be the second video's argument. The first video describes the harmful, unseen aspects of farming and cows, but you can't make everyone stop eating meat. At least in the other video, the farmer is capturing the gas to be reused for other things such as to gas trucks, and the leftovers go into the fertilizer to be reused. In the second video there is a lot of reuse/recycling being done since the farmer knows that cows produce gas and he's capturing it to use it for other benefits, rather than letting it escape into the air. It takes away one of the hidden facts to cows and a negative aspect towards the environment.",15
566,i know my friends really like burgers so maybe the sustainable farming would be best. The reason being that it is helping the earth as well as being able to feed people at the same time. I feel that it could be said as killing two birds with one stone.,10
567,"I think sustainable farming is the best option because while they are still using cows for produce such as milk, they are also using the negative byproduct from cows ( manure) and making it into something beneficial. Therefore, one would have a harder time arguing that cows create a lot of greenhouse gases when their manure is being used for the trucks that take their milk to suppliers.",15
568,"Sustainable farming/ranching methods definitely appear to be the superior option for the future.  If it is possible to both gain resources from cows and affect the environment in a minimal way, then it is my recommendation for the future.  ",15
569,Based on the videos I would tell my friends to limit the consumption of beef due to the negative effects it has on the environment. ,15
570,"Personally, I would tell them to do the more natural way, I believe that a more natural way to produce something is amazing! Also, the sustainability is much greater with lesser costs and you would be getting better health benefits from it.",0
571,Video 2 Because they are being environmentally friendly,15
572,The second one because you need to create a new thing to adapt to the new century.,10
573,"I believe the farm industry CAN primarily use renewable resources and make it better for our environment. However, the second video is only talking about that one location. How many locations that farm actually do all those things to be more green? Also, its very apparent that in our current time, the environment is not a priority to the government right now. It's too expensive and not convenient. So, I agree more with the first video. ",10
574,I think I would tell my friends about the second video because i feel like it is more educational and provided a more positive tone. I like how the second video was informing on ways to make the manure into something very useful instead of just polluting the earth.,15
575,The second video is the best choice for the environment because it does allow that company to turn manure into fuel which helps power the 18 wheelers that carry the milk around the country.  ,15
576,"Though I am a meat eater, I believe that the first choice about reducing the amount of meat being consumed would be the best choice. Not only is the amount of meat consumed bad for the environment, it is also bad for a person's health. Though it will take me a while, I plan on reducing the amount of meat I consumer on a daily basis.",20
577,I am personally vegan so I always share the benefits of a plant based diet. Or atleast list the benefits of heavily cutting back on meat consumption. For health and environmental reasons. ,20
578,"I would say that the sustainable farming would be the best option, due to the fact that they use a more economic way, turning the  manure into a natural gas. ",15
579,"There were claim made by both video that I agree with, but if I had to choose one it would be the second video. I am not a fan of mass production and feeding cows corn just to speed up production and of course profits. With that being said, I am really intrigued by the concept of turning manure into natural gas. I believe it's an innovative idea and I agree with what Gary, the CEO of Fair Oaks Farm stated; ""to survive in the 21st century you need sustainability, technology, creativity and innovation"" which is true. He's using a great way to turn waste into something productive. ",15
580,"I believe that if everyone made the effort to reduce their burger intake to one a week, it would help reduce the negative impact on the environment.",15
581,I would tell my friedns to be mindful of the types of beef consumed if they are going to eat it. Both videos displayed pros and cons of humans cow dependencies but there's really no right or wrong. I am in support of the organic/ non-gmo beef.,0
582,I would choose to not eat meat. At least once a day if not possible to go full vegan or vegetarian. Not only is it better for ourselves and our health but better to not put animals and our earth in harm. ,20
583,"The best option is to stop your consumption of red meat and reduce the need for cows. Without as many cows, there would be less methane gases in our already polluted earth.",15
584,I would tell them the second one because it seems to have all the pros and cons and it could answer all potential questions. ,10
585,"I would tell my friends to eat what they like, but to know what they are eating also. ",0
586,"I honestly have a hard time with this topic, because both have its pros and cons but I would have to choose option two because I think that is the most efficient.",20
587,"I'd say that it is important to eat meat (if they're ok with eating meat) every once in a while, but it's more important to break away from this meat-craze America has going on and include healthier variations in our diets.",0
588,"Trying to eat vegan/vegetarian as often as possible. While sustainable farming is better for the environment, it still has its effects. Cutting out meat/dairy as often as possible is what the world needs to do in order to combat climate change. ",15
589,Sustainable farming would be the better option so that we can preserve our environment and use food and resources wisely.,15
590,To tell them the truth,0
591,"I would tell my friend that it would be best to reduce their amount of meat intake. However, with meat being very abundant in American's diet, learning how to lessen the effects of the mass production of meat might be a better option. ",10
592,Based on the videos I would suggest to my friends to consume less beef and be more proactive in what they put into their bodies.  I did not know that such a simple thing as a hamburger could have such a negative effect on the Earth. ,10
593,"First of all, I would tell my friends to keep in mind the pros and cons of both videos, but I think the first one is the best option because you can control your intake of meat and getting others to be aware about their intake can help too. For the second video we don't really know how many farms are using that process.",10
594,"I think that sustainable farming was the way to go because it got rid of the greenhouse gasses being produced, reused it and limited the waste to a minute amount. With this option, people could still eat burgers and meat without as many repercussions. ",15
595,I would encourage friends to support sustainable farming because I feel that it is important to be mindful of the environment and animal welfare.,20
596,If it was solely based on the video I would tell them to switch to a meatless source because it would benefit the animals so they dont have to live to just be slaughtered but also meat has been proven to not actually be that healthy for humans,20
597,"After watching the two videos, I was more convinced with the second one. The farm is a great way to begin with reducing pollution. I believe that this is the best way to reduce waste because the people will not change their eating habits.",15
598,i would tell my friends eating healthy is very important in anything you do ,0
599,"I believe that the second video would be optimal in reducing the amount of methane released into the atmosphere. In fact, I believe that it would do way more in the long run. Everybody cutting back a burger a week will certainly help, but you can't really monitor that. If more farms followed suit and emphasized sustainability it would have a larger impact than the first option. I think if Borden and a few other large scale dairy companies really pushed sustainability it would have a huge impact on the amount of methane being produced.",15
600,"ill mainly go with and tell my friends to choose the 2 option, because its using the natural resources that they get from the cows in order to power everything around them. By using cow poop and such to fuel there fleet of trucks to feeding us as humans.",15
601,"Avoiding beef as much as possible, but doing what the farm does for what still is produced",10
